video_id,nepali_captions
-8y1Q0rA3n8_108_115 ,मा प्लास्टिकको बोतल मार्फत काटियो
-8y1Q0rA3n8_108_115 ,मानिसले प्लास्टिकको बोतल काट्न तरवार प्रयोग गर्यो
-8y1Q0rA3n8_108_115 ,एक जना मानिसले तरवारले प्लास्टिकको पानीको बोतलको टुप्पो काट्छ
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल भाँच्दछ
-8y1Q0rA3n8_108_115 ,मानिसले तरवारले सोडाको बोतलबाट काटे
-8y1Q0rA3n8_108_115 ,मानिसले तरवारले बोतल काट्यो
-8y1Q0rA3n8_108_115 ,एक व्यक्ति बोतल बाहिर छ
-8y1Q0rA3n8_108_115 ,एउटा मानिसले तरवारले बोतल काट्छ
-8y1Q0rA3n8_108_115 ,मलाई चिसो स्टील ब्लेड मन पर्छ
-8y1Q0rA3n8_108_115 ,एक व्यक्ति बोतल काट्दै
-8y1Q0rA3n8_108_115 ,व्यक्तिले केहि गरिरहेको छ
-8y1Q0rA3n8_108_115 ,एक मानिस सोडाको बोतल काट्दै छ
-8y1Q0rA3n8_108_115 ,एक मानिस बोतल तोड्दै छ
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल काटे
-8y1Q0rA3n8_108_115 ,एक जना मानिसले तरल पदार्थले भरिएको बोतललाई चिसो स्टिलको तरवारले एकैछिनमा काट्यो
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल आधा टुक्रा पार्छ
-8y1Q0rA3n8_108_115 ,एक मानिस एक गिलास तोड्दै
-8y1Q0rA3n8_108_115 ,मानिसले प्लास्टिकको बोतल काट्न तरवार प्रयोग गर्दैछ
-8y1Q0rA3n8_108_115 ,एउटा मान्छे बाटोमा उभिरहेको छ
-8y1Q0rA3n8_108_115 ,चिसो स्टील तरवार भिडियो
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल काट्दै छ
-8y1Q0rA3n8_108_115 ,एक मानिस एक बोतल भाँचिएको छ
-8y1Q0rA3n8_95_102 ,तरवार बोकेको मानिस दौडन्छ र कार्डबोर्डको निशानामा छुरा प्रहार गर्छ
-8y1Q0rA3n8_95_102 ,तरवार भएको मानिसले निशाना प्रहार गर्छ
-8y1Q0rA3n8_95_102 ,तरवार भएको मानिसले निशाना प्रहार गर्छ
-8y1Q0rA3n8_95_102 ,एक जना मानिसले तरवारले कार्डबोर्ड कटआउटलाई छुराइरहेको छ
-8y1Q0rA3n8_95_102 ,एउटा मानिसले कागजको टुक्रामा तरवार हान्यो
-8y1Q0rA3n8_95_102 ,एउटा मानिसले आफ्नो तरवारले फोटो हानिरहेको छ
-8y1Q0rA3n8_95_102 ,एक मानिस तरवार प्रदर्शन गर्दैछ
-8y1Q0rA3n8_95_102 ,एउटा मानिसले निशाना प्रहार गर्दैछ
-8y1Q0rA3n8_95_102 ,कसैले तरवारले पोस्टर हानेको छ
-8y1Q0rA3n8_95_102 ,एउटा मानिसले सिल्हूटलाई तरवारले प्रहार गर्दैछ
-8y1Q0rA3n8_95_102 ,त्यो मानिसले तस्विरमा छुरा प्रहार गर्यो
-8y1Q0rA3n8_95_102 ,मानिसले निशानामा तरवार प्रहार गर्यो
-8y1Q0rA3n8_95_102 ,एक व्यक्तिले चक्कुले फोटो प्रिन्ट गर्छ
-8y1Q0rA3n8_95_102 ,त्यो मानिसले तस्बिरलाई तरवारले छेडेर दौडियो
-8y1Q0rA3n8_95_102 ,तरवार प्रयोग गर्ने मानिस
-8y1Q0rA3n8_95_102 ,एक मानिस तरवारको अभिनय देखाउँदै
-8y1Q0rA3n8_95_102 ,एउटा मानिसले निशानामा तरवार हान्छ
-8y1Q0rA3n8_95_102 ,एक पुरुष कार्यक्रम प्रस्तुत गर्दै छन्
-8y1Q0rA3n8_95_102 ,केटाले केहि गरिरहेको छ
-8y1Q0rA3n8_95_102 ,एक मानिस तरवारले फोटो काट्दै
-8y1Q0rA3n8_95_102 ,एक मानिस दौडिरहेको छ
-8y1Q0rA3n8_95_102 ,एउटा मान्छे फोटो तोड्दै
-8y1Q0rA3n8_95_102 ,मानिस तरवारको विज्ञापन हो
-8y1Q0rA3n8_95_102 ,एउटा मानिसले कटआउटमा तरवार हाने
-8y1Q0rA3n8_95_102 ,एउटा मानिस तरवार लिएर दौडिरहेको छ र त्यसलाई एसियाली मानिसको तस्बिरमा हान्दै छ
-8y1Q0rA3n8_95_102 ,मानिसले तरवारले निशाना प्रहार गर्यो
-8y1Q0rA3n8_95_102 ,एउटा मानिसले तरवारले फोटो देखाउँदै छ
-9CUm-2cui8_39_44 ,एउटी महिलाले उमालेको पानीको प्यानमा चारवटा भिंडी राखिन्
-9CUm-2cui8_39_44 ,एउटी महिला खुर्सानी उमाल्दै छिन्
-9CUm-2cui8_39_44 ,एक व्यक्ति चिली खुर्सानी उमाल्दै छ
-9CUm-2cui8_39_44 ,कोही प्यानमा भिंडी पकाउँदै छन्
-9CUm-2cui8_39_44 ,एउटी महिला पानीमा औंला उमाल्दै छिन्
-9CUm-2cui8_39_44 ,एउटी महिलाले उमालेको पानीमा हरियो सिमी जोडिरहेकी छिन्
-9CUm-2cui8_39_44 ,एउटी महिला तरकारी उमाल्दै छिन्
-9CUm-2cui8_39_44 ,भिंडी उमालेको पानीमा पकाउँदै छ
-9CUm-2cui8_39_44 ,कसैले खुर्सानी उमालेको छ
-9CUm-2cui8_39_44 ,एउटी महिला भाँडोमा तरकारी थप्दै छिन्
-9CUm-2cui8_39_44 ,महिलाले उमालेको पानीमा मटरको फली थपिन्
-9CUm-2cui8_39_44 ,महिला भिंडी पकाउँदै छिन्
-9CUm-2cui8_39_44 ,एउटी महिला भिंडी पकाउँदै छिन्
-9CUm-2cui8_39_44 ,एउटी महिलाले तरकारी उमालेको पानीमा फाल्दै
-9CUm-2cui8_39_44 ,ओक्रा पानीको भाँडोमा उमालिरहेको छ
-9CUm-2cui8_39_44 ,कोही भाँडोमा भिन्डी उमाल्दै छन्
-9CUm-2cui8_39_44 ,महिलाले उमालेको पानीमा सिमीका फलीहरू राखिन्
-9CUm-2cui8_39_44 ,त्यहाँ करी तयार छ
-9CUm-2cui8_39_44 ,एउटी महिलाले उमालेको पानीमा रहेको लेडी औंलालाई हलचल गरिरहेकी छिन्
-9CUm-2cui8_39_44 ,कोही खुर्सानी उमाल्दै छन्
-9CUm-2cui8_39_44 ,व्यक्ति भनेको लेडिज फिंगर उमाल्ने हो
-9CUm-2cui8_39_44 ,एउटी महिला भाँडोमा भिंडी हाल्दै छिन्
-9CUm-2cui8_39_44 ,एक शेफ पानीमा तरकारी उमाल्दै छन्
-9CUm-2cui8_39_44 ,कोही महिलाको औंला फ्राइङ प्यानमा उमाल्दै
-9CUm-2cui8_39_44 ,महिलाले मटरको फली उमालेको पानीमा हालिन्
-9CUm-2cui8_39_44 ,एक मानिस आफ्नो भान्सा पकाउँदै
-9CUm-2cui8_39_44 ,महिला भिंडी पकाउँदै छिन्
-9CUm-2cui8_39_44 ,एउटी महिला भिंडी पकाउँदै
-AwoiGR6c8M_10_14 ,एउटा केटा किबोर्ड खेलिरहेको छ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा केटा कोठामा बत्तीको बत्तीमा पियानो बजाउँदै बसिरहेको छ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ
-AwoiGR6c8M_10_14 ,कोठामा बसेको केटा पियानो बजाइरहेको छ
-AwoiGR6c8M_10_14 ,एउटा बच्चा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा बच्चा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा जवान केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एक जवान पियानोमा बसिरहेको छ
-AwoiGR6c8M_10_14 ,केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,केटाले आफ्नो पियानो अभ्यास गर्यो
-AwoiGR6c8M_10_14 ,केटाले पियानो अभ्यास गर्यो
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै गीत गाउँदै
-AwoiGR6c8M_10_14 ,एक केटा संगीत बजाउँदै
-AwoiGR6c8M_10_14 ,केटी संगीत बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा केटा पियानोमा बसेर गाउँदै छ
-AwoiGR6c8M_10_14 ,एक जवान केटा गीत गाउँदै
-AwoiGR6c8M_10_14 ,केटा बसेर धेरै राम्रो गाउँछ
-AwoiGR6c8M_10_14 ,ग्रेसन मौका टुटेको हृदय गाउने
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,गीत नृत्य धेरै रमाइलो
-AwoiGR6c8M_10_14 ,एउटा बच्चा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,कोही पियानो बजाउँदै छन्
-AwoiGR6c8M_10_14 ,एक केटा गितार बजाउँदै
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,कसैले केही गरिरहेको छ
-AwoiGR6c8M_10_14 ,तपाईं केटा पियानो बजाउँदै हुनुहुन्छ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एक केटी पियानो खेल्दै
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,धेरै सुमधुर म्युजिक भिडियो
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ
-Cv5LsqKUXc_17_25 ,एक मानिस स्ट्रबेरी काट्दै छ
-Cv5LsqKUXc_17_25 ,एक पुरुषले ichigo daifuku स्ट्रबेरी daifuku बनाउनको लागि स्ट्रबेरीको स्टेम हटाउँदै छन्
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरीबाट डाँठहरू हटाउँदै
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरी काट्दै छिन्
-Cv5LsqKUXc_17_25 ,स्ट्रोउबेरी काट्ने
-Cv5LsqKUXc_17_25 ,कसैले स्ट्रबेरीका पातहरू काट्दै छन्
-Cv5LsqKUXc_17_25 ,स्टेम
-Cv5LsqKUXc_17_25 ,उनी स्ट्रोबरी खाना बनाउन सिकाउँछिन्
-Cv5LsqKUXc_17_25 ,एक शेफले स्ट्रबेरीका पातहरू काट्छन्
-Cv5LsqKUXc_17_25 ,एक शेफ स्ट्रबेरीको टाउको काट्दै छन्
-Cv5LsqKUXc_17_25 ,कुकले पातहरू हटाएर स्ट्रबेरी सफा गर्दैछ
-Cv5LsqKUXc_17_25 ,एक मानिसले स्ट्रबेरीका पातहरू काट्छन्
-Cv5LsqKUXc_17_25 ,एक जना मानिसले तीनवटा स्ट्रबेरीको टुप्पो काट्छ
-Cv5LsqKUXc_17_25 ,एकजना मानिसले तीनवटा स्ट्रबेरीका माथिल्लो पातहरू काट्दै छन्
-Cv5LsqKUXc_17_25 ,एक मानिसले स्ट्रबेरीको माथिल्लो भाग काट्छ
-Cv5LsqKUXc_17_25 ,एक मानिस स्ट्रबेरीबाट साग काट्दै
-Cv5LsqKUXc_17_25 ,एक व्यक्ति स्ट्रबेरीको डाँठ काट्दै छ
-Cv5LsqKUXc_17_25 ,एक व्यक्ति चक्कुले स्ट्रबेरीको टुप्पो काट्दै छ
-Cv5LsqKUXc_17_25 ,एक व्यक्ति स्ट्रबेरीका डाँठहरू काट्दै छन्
-Cv5LsqKUXc_17_25 ,एक व्यक्ति स्ट्रबेरी काट्दै छ
-Cv5LsqKUXc_17_25 ,एक महिला स्ट्रबेरीको डाँठहरू काट्दै
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरीको डाँठ काट्दै
-Cv5LsqKUXc_17_25 ,एउटी महिलाले चक्कु प्रयोग गरेर पहिले धोएको स्ट्रबेरीको काँड काटिरहेकी छिन्
-Cv5LsqKUXc_17_25 ,एउटी महिलाले स्ट्रबेरीका डाँठहरू काटिरहेकी छिन्
-Cv5LsqKUXc_17_25 ,एक महिला स्ट्रबेरी daifuku तयारी गर्दै
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरीको टाउको हटाउँदै छिन्
-Cv5LsqKUXc_17_25 ,एउटी महिलाले स्ट्रबेरीबाट टाउको हटाउन चक्कु प्रयोग गरिरहेकी छिन्
-Cv5LsqKUXc_17_25 ,एक महिला स्ट्रबेरीबाट डाँठ हटाउँदै
-Cv5LsqKUXc_17_25 ,स्ट्रबेरीको डाँठहरू हटाउँदै महिला
-Cv5LsqKUXc_17_25 ,शीर्ष स्थिति पातदार स्थिति स्ट्रबेरी फल काटन
-Cv5LsqKUXc_17_25 ,कसैले स्ट्रबेरीको डाँठ काट्दै
-Cv5LsqKUXc_17_25 ,कसैले स्ट्रबेरीको टुप्पो काट्दैछ
-Cv5LsqKUXc_17_25 ,मानिसले पहिले धोएको स्ट्रबेरीमाथि काण्डहरू हटायो
-Cv5LsqKUXc_17_25 ,व्यक्तिले स्ट्रबेरीको माथिल्लो भाग काट्दै छ
-Cv5LsqKUXc_17_25 ,स्ट्रबेरीको माथिल्लो पातदार भाग काटिएको छ
-Cv5LsqKUXc_17_25 ,स्ट्रबेरीको माथिल्लो भाग हटाइँदैछ
-Cv5LsqKUXc_17_25 ,तीनवटा स्ट्रबेरीको टुप्पो काटिएको छ
-Cv5LsqKUXc_17_25 ,महिलाहरू स्ट्रबेरी डेफुकु बनाउँदैछन्
-Cv5LsqKUXc_17_25 ,महिला स्ट्रबेरीको टुप्पो काट्दै
-Cv5LsqKUXc_17_25 ,एउटी महिलाले स्ट्रबेरी फलको नचाहिने भाग काटिरहेकी छिन्
-Cv5LsqKUXc_17_25 ,स्ट्रबेरी daifuku कसरी बनाउने देखाउँदै एक महिला
-Cv5LsqKUXc_17_25 ,स्ट्रा बेरी काट्दै
-Cv5LsqKUXc_71_76 ,एउटा धुलो पदार्थ प्यानमा सारिएको छ
-Cv5LsqKUXc_71_76 ,एक महिला सिभ मार्फत पीठो वा चिनी छान्दै
-Cv5LsqKUXc_71_76 ,केहि फिल्टर गर्नुहोस्
-Cv5LsqKUXc_71_76 ,स्ट्रबेरी संग मीठो तयारी
-Cv5LsqKUXc_71_76 ,बेकिंग पाना पीठो संग धुलो छ
-Cv5LsqKUXc_71_76 ,एक मानिस केक प्यानमा पीठो छान्दै
-Cv5LsqKUXc_71_76 ,एउटा प्यान पिठो भइरहेको छ
-Cv5LsqKUXc_71_76 ,एक व्यक्ति छल्नी प्रयोग गरेर स्टार्च पाउडरको साथ बेकिंग ट्रे धुन्छ
-Cv5LsqKUXc_71_76 ,एक व्यक्तिले प्यानमा पीठो छर्कनका लागि सिफ्ट प्रयोग गर्दैछ
-Cv5LsqKUXc_71_76 ,एक महिला प्यान पीठो गर्दै
-Cv5LsqKUXc_71_76 ,एउटी महिला सेतो पीठोले प्यान धूलो गर्दैछिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला पीठो छान्दै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला खानाको धुलो छान्दै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला पाउडर छान्दै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला चिनीको धुलो छान्दै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला डेफुकु तयार गर्दैछिन्
-Cv5LsqKUXc_71_76 ,एक महिला स्ट्रबेरी daifuku तयारी गर्दै
-Cv5LsqKUXc_71_76 ,एउटी महिला प्यानमा चिनी मिलाइरहेकी छिन्
-Cv5LsqKUXc_71_76 ,एउटी आइमाई बेकिंग डिशमा पीठो छेउछिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला बेकिंग शीटमा धुलो चिनी छान्दै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला चिनी छान्दै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला बेकिंग शीटमा शक्ति फैलाउँदै छिन्
-Cv5LsqKUXc_71_76 ,एउटी महिला अवयवहरू सँगै मिलाउँदै
-Cv5LsqKUXc_71_76 ,एक महिला बेकिंग स्टार्च छान्दै
-Cv5LsqKUXc_71_76 ,एक महिला चिनी छान्दै
-Cv5LsqKUXc_71_76 ,एउटी आइमाईले धातुको प्यानमा पीठो छान्दै
-Cv5LsqKUXc_71_76 ,सामग्रीहरू फिल्टर गर्दै
-Cv5LsqKUXc_71_76 ,एक थाल मा पीठो खुकुलो छ
-Cv5LsqKUXc_71_76 ,भिडियोमा केही छैन
-Cv5LsqKUXc_71_76 ,स्ट्रेनर मार्फत संचालित चिनी छान्ने
-Cv5LsqKUXc_71_76 ,कोही बेकिंग प्यान पीठो गर्दै छन्
-Cv5LsqKUXc_71_76 ,कसैले धुलो चिनीको ट्रे छर्छ
-Cv5LsqKUXc_71_76 ,कुकले प्यानको तल्लो भागमा पीठो छर्किरहेको छ
-Cv5LsqKUXc_71_76 ,आटालाई ट्रेमा छेउछ
-Cv5LsqKUXc_71_76 ,महिलाले स्टार्च पाउडर छिन्दै छ
-Cv5LsqKUXc_71_76 ,मानिसले छल्नीले शक्ति छल्न थाल्यो
-Cv5LsqKUXc_71_76 ,महिला धुलो चिनीले बेकिंग प्यान कोटिंग गरिरहेकी छिन्
-Cv5LsqKUXc_71_76 ,स्ट्रबेरी खाना बनाउन
-DKuLXYoY3g_14_20 ,एउटा केटा खेलिरहेको छ
-DKuLXYoY3g_14_20 ,एक बच्चा बास्केटबल खेल्छ
-DKuLXYoY3g_14_20 ,एउटा जवान केटा जिम भित्र बास्केटबल ड्रिबल गर्ने अभ्यास गर्दैछ
-DKuLXYoY3g_14_20 ,बच्चा बास्केटबल खेल्दै छ
-DKuLXYoY3g_14_20 ,एक केटा बास्केटबल ड्रिबल गर्दै
-DKuLXYoY3g_14_20 ,एउटा केटाले बल उछालिरहेको छ
-DKuLXYoY3g_14_20 ,एक केटा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एक केटा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एक केटा बल संग खेलिरहेको छ
-DKuLXYoY3g_14_20 ,एक केटा बास्केटबलको लागि अभ्यास गर्दैछ
-DKuLXYoY3g_14_20 ,एक केटा बास्केटबल ड्रिबल गर्न कोशिस गर्दैछ
-DKuLXYoY3g_14_20 ,एउटा बच्चाले बल ड्रिबल गर्न सक्दो प्रयास गर्छ
-DKuLXYoY3g_14_20 ,एक बच्चा बास्केटबल ड्रिबल गर्दै
-DKuLXYoY3g_14_20 ,एक बच्चा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एक बच्चा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एउटा सानो केटाले बास्केटबल उछाल्छ
-DKuLXYoY3g_14_20 ,एउटा सानो केटा बास्केटबल कोर्टमा बास्केटबल उछाल्दै छ
-DKuLXYoY3g_14_20 ,एउटा सानो केटा कोर्टमा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एउटा सानो केटा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एउटा सानो केटा बास्केटबल ड्रिबल गर्दैछ
-DKuLXYoY3g_14_20 ,एउटा सानो केटा बास्केटबल ड्रिबल गर्न खोज्दै थियो
-DKuLXYoY3g_14_20 ,एउटा सानो केटा बास्केटबल ट्याप गर्दैछ
