video_id,nepali_captions,english_captions
-7KMZQEsJW4_205_208 ,बगैचा सूर्यमुखी मा भर्जिनिया फार्म ब्यूरो,virginia farm bureau in the garden sunflowers
-7KMZQEsJW4_205_208 ,एक मानिस सुकेको सूर्यमुखी जाँच गर्दै,a man examine the dried sunflowers
-7KMZQEsJW4_205_208 ,एक मानिस खेतबाट सूर्यमुखी निकाल्दै,a man extracting sunflower from a farm
-7KMZQEsJW4_205_208 ,फूलबारीमा एक मानिस,a man in flower garden
-7KMZQEsJW4_205_208 ,एक मानिस मरेको सूर्यमुखी माझ्दै छ,a man is brushing off a dead sunflower
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी फसल काट्दै छ,a man is harvesting sunflowers
-7KMZQEsJW4_205_208 ,एक मानिसले केही सूर्यमुखी बोकेका छन्,a man is holding some sunflowers
-7KMZQEsJW4_205_208 ,एक मानिसले सूर्यको फूल समातेको छ,a man is holding the sun flower
-7KMZQEsJW4_205_208 ,एक मानिस रोप्दै छ,a man is seeding
-7KMZQEsJW4_205_208 ,एउटा मानिस फूल देखाउँदै छ,a man is showing flowers
-7KMZQEsJW4_205_208 ,एक जना मानिस सूर्यमुखीको बीउको पोडलाई प्रहार गर्दैछ,a man is stroking a sunflower s seed pod
-7KMZQEsJW4_205_208 ,एउटा मानिस फूलको बारेमा कुरा गर्दैछ,a man is talking about flowers
-7KMZQEsJW4_205_208 ,एक जना मानिस सूर्यको फूलको बारेमा कुरा गर्दैछ,a man is talking about sun flower
-7KMZQEsJW4_205_208 ,एक मानिस बोल्दै छ,a man is talking
-7KMZQEsJW4_205_208 ,एक मानिस सुकेको सूर्यमुखीको बीउ देखाउँछ,a man shows seeds of a dried sunflower
-8y1Q0rA3n8_108_115 ,एक जना मानिसले तरवारले सोडा पपको दुई लिटर प्लास्टिकको बोतललाई टुक्रा पार्दै,a man slices through a two liter plastic bottle of soda pop with a sword
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल काटे,a man slices a soda bottle with a sword
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल काटे,a man slices a soda bottle with a sword
-8y1Q0rA3n8_108_115 ,दुई लिटर प्लास्टिकको बोतल आधामा काट्न एक जना मानिस तरवार प्रयोग गर्छन्,a man uses a sword to cut a two liter plastic bottle in half
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल भाँचिएको छ,a man is broken a bottle by a sword
-8y1Q0rA3n8_108_115 ,एक व्यक्तिले तरवारले प्लास्टिकको बोतल काटे,a man sliced a plastic bottle with a sword
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल काट्दै छ,a man is cutting a bottle with a sword
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले पानीको बोतल काट्दै छ,a man is cutting a bottle of water with a sword
-8y1Q0rA3n8_108_115 ,कसैले तरवारले बोतल काट्छ,someone slices a bottle with a sword
-8y1Q0rA3n8_108_115 ,एक व्यक्ति तरवारले बोतल बाट काट्छ,a person slices through a bottle with a sword
-8y1Q0rA3n8_108_115 ,मा प्लास्टिकको बोतल मार्फत काटियो,the ma sliced through a plastic bottle
-8y1Q0rA3n8_108_115 ,मानिसले प्लास्टिकको बोतल काट्न तरवार प्रयोग गर्यो,the man used a sword to slice a plastic bottle
-8y1Q0rA3n8_108_115 ,एक जना मानिसले तरवारले प्लास्टिकको पानीको बोतलको टुप्पो काट्छ,a man slices the top of a plastic bottle of water off with a sword
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल भाँच्दछ,a man breaks a bottle with a sword
-8y1Q0rA3n8_108_115 ,मानिसले तरवारले सोडाको बोतलबाट काटे,the man sliced through a soda bottle with a sword
-8y1Q0rA3n8_108_115 ,मानिसले तरवारले बोतल काट्यो,the man cut the bottle with the sword
-8y1Q0rA3n8_108_115 ,एक व्यक्ति बोतल बाहिर छ,a person is break out the bottle
-8y1Q0rA3n8_108_115 ,एउटा मानिसले तरवारले बोतल काट्छ,a man cuts a bottle with a sword
-8y1Q0rA3n8_108_115 ,मलाई चिसो स्टील ब्लेड मन पर्छ,i love the cold steel blades
-8y1Q0rA3n8_108_115 ,एक व्यक्ति बोतल काट्दै,a person cutting a botal
-8y1Q0rA3n8_108_115 ,व्यक्तिले केहि गरिरहेको छ,the person is doing the something
-8y1Q0rA3n8_108_115 ,एक मानिस सोडाको बोतल काट्दै छ,a man is cutting a bottle of soda
-8y1Q0rA3n8_108_115 ,एक मानिस बोतल तोड्दै छ,a man is breaking a bottle
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल काटे,a man slices a soda bottle with a sword
-8y1Q0rA3n8_108_115 ,एक जना मानिसले तरल पदार्थले भरिएको बोतललाई चिसो स्टिलको तरवारले एकैछिनमा काट्यो,a man sliced a bottle full of liquid with a cold steel sword in an instant
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल आधा टुक्रा पार्छ,a man slices a soda bottle in half with a sword
-8y1Q0rA3n8_108_115 ,एक मानिस एक गिलास तोड्दै,a man breaking a glass
-8y1Q0rA3n8_108_115 ,मानिसले प्लास्टिकको बोतल काट्न तरवार प्रयोग गर्दैछ,the man is using a sword to slice the platic bottle
-8y1Q0rA3n8_108_115 ,एउटा मान्छे बाटोमा उभिरहेको छ,a man is standing with road
-8y1Q0rA3n8_108_115 ,चिसो स्टील तरवार भिडियो,cold steel swords video
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल काट्दै छ,a man is slashing a bottle with a sword
-8y1Q0rA3n8_108_115 ,एक मानिस एक बोतल भाँचिएको छ,a man is broken a bottle
-8y1Q0rA3n8_95_102 ,तरवार बोकेको मानिस दौडन्छ र कार्डबोर्डको निशानामा छुरा प्रहार गर्छ,a man with a sword runs ands stabs a cardboard target
-8y1Q0rA3n8_95_102 ,तरवार भएको मानिसले निशाना प्रहार गर्छ,a man with a sword stabs a target
-8y1Q0rA3n8_95_102 ,तरवार भएको मानिसले निशाना प्रहार गर्छ,a man with a sword stabs a target
-8y1Q0rA3n8_95_102 ,एक जना मानिसले तरवारले कार्डबोर्ड कटआउटलाई छुराइरहेको छ,a man is stabbing a cardboard cutout with a sword
-8y1Q0rA3n8_95_102 ,एउटा मानिसले कागजको टुक्रामा तरवार हान्यो,a man stuck a sword through a piece of paper
-8y1Q0rA3n8_95_102 ,एउटा मानिसले आफ्नो तरवारले फोटो हानिरहेको छ,a man is hitting a photo with his sword
-8y1Q0rA3n8_95_102 ,एक मानिस तरवार प्रदर्शन गर्दैछ,a man is demonstrating a sword
-8y1Q0rA3n8_95_102 ,एउटा मानिसले निशाना प्रहार गर्दैछ,a man is stabbing a target
-8y1Q0rA3n8_95_102 ,कसैले तरवारले पोस्टर हानेको छ,someone is stabbing a poster with a sword
-8y1Q0rA3n8_95_102 ,एउटा मानिसले सिल्हूटलाई तरवारले प्रहार गर्दैछ,a man is stabbing a silhouette with a sword
-8y1Q0rA3n8_95_102 ,त्यो मानिसले तस्विरमा छुरा प्रहार गर्यो,the man stabbed the picture as he ran by
-8y1Q0rA3n8_95_102 ,मानिसले निशानामा तरवार प्रहार गर्यो,the man used a sword stab the target
-8y1Q0rA3n8_95_102 ,एक व्यक्तिले चक्कुले फोटो प्रिन्ट गर्छ,a person stabs a photo print with a knife
-8y1Q0rA3n8_95_102 ,त्यो मानिसले तस्बिरलाई तरवारले छेडेर दौडियो,the man pierced the picture with a sword as he ran by
-8y1Q0rA3n8_95_102 ,तरवार प्रयोग गर्ने मानिस,a man using a sword
-8y1Q0rA3n8_95_102 ,एक मानिस तरवारको अभिनय देखाउँदै,a man showing a sword act
-8y1Q0rA3n8_95_102 ,एउटा मानिसले निशानामा तरवार हान्छ,a man puts a sword into a target
-8y1Q0rA3n8_95_102 ,एक पुरुष कार्यक्रम प्रस्तुत गर्दै छन्,a men is presenting show
-8y1Q0rA3n8_95_102 ,केटाले केहि गरिरहेको छ,the boy is doing the something
-8y1Q0rA3n8_95_102 ,एक मानिस तरवारले फोटो काट्दै,a man cutting photo with a sword
-8y1Q0rA3n8_95_102 ,एक मानिस दौडिरहेको छ,a man is running
-8y1Q0rA3n8_95_102 ,एउटा मान्छे फोटो तोड्दै,a man breaking the photo
-8y1Q0rA3n8_95_102 ,मानिस तरवारको विज्ञापन हो,man is advertising of sward
-8y1Q0rA3n8_95_102 ,एउटा मानिसले कटआउटमा तरवार हाने,a man thrust the sword in a cutout
-8y1Q0rA3n8_95_102 ,एउटा मानिस तरवार लिएर दौडिरहेको छ र त्यसलाई एसियाली मानिसको तस्बिरमा हान्दै छ,a man is running with a sword then stabbing it into a picture of an asian man
-8y1Q0rA3n8_95_102 ,मानिसले तरवारले निशाना प्रहार गर्यो,the man stabbed the target with a sword
-8y1Q0rA3n8_95_102 ,एउटा मानिसले तरवारले फोटो देखाउँदै छ,a man is pionting a photo with a swoard
-9CUm-2cui8_39_44 ,एउटी महिलाले उमालेको पानीको प्यानमा चारवटा भिंडी राखिन्,a woman puts four okra in a pan of boiling water
-9CUm-2cui8_39_44 ,एउटी महिला खुर्सानी उमाल्दै छिन्,a woman is boiling peppers
-9CUm-2cui8_39_44 ,एक व्यक्ति चिली खुर्सानी उमाल्दै छ,a person is boiling chile peppers
-9CUm-2cui8_39_44 ,कोही प्यानमा भिंडी पकाउँदै छन्,someone is cooking okra in a pan
-9CUm-2cui8_39_44 ,एउटी महिला पानीमा औंला उमाल्दै छिन्,a woman is boiling finger in the water
-9CUm-2cui8_39_44 ,एउटी महिलाले उमालेको पानीमा हरियो सिमी जोडिरहेकी छिन्,a woman is adding cut green beans to boiling water
-9CUm-2cui8_39_44 ,एउटी महिला तरकारी उमाल्दै छिन्,a woman is boiling some vegetables
-9CUm-2cui8_39_44 ,भिंडी उमालेको पानीमा पकाउँदै छ,okra is cooking in boiling water
-9CUm-2cui8_39_44 ,कसैले खुर्सानी उमालेको छ,someone is boiling some peppers
-9CUm-2cui8_39_44 ,एउटी महिला भाँडोमा तरकारी थप्दै छिन्,a woman is adding vegetables to a pot
-9CUm-2cui8_39_44 ,महिलाले उमालेको पानीमा मटरको फली थपिन्,the lady added the pea pods to the boiling water
-9CUm-2cui8_39_44 ,महिला भिंडी पकाउँदै छिन्,the woman is boiling okra
-9CUm-2cui8_39_44 ,एउटी महिला भिंडी पकाउँदै छिन्,a woman is boiling okra
-9CUm-2cui8_39_44 ,एउटी महिलाले तरकारी उमालेको पानीमा फाल्दै,a woman dumps vegetables into boiling water
-9CUm-2cui8_39_44 ,ओक्रा पानीको भाँडोमा उमालिरहेको छ,ocra is boiling in a pot of water
-9CUm-2cui8_39_44 ,कोही भाँडोमा भिन्डी उमाल्दै छन्,someone is boiling okra in a pot
-9CUm-2cui8_39_44 ,महिलाले उमालेको पानीमा सिमीका फलीहरू राखिन्,the lady put the bean pods in the boiling water
-9CUm-2cui8_39_44 ,त्यहाँ करी तयार छ,there is a preparing curry
-9CUm-2cui8_39_44 ,एउटी महिलाले उमालेको पानीमा रहेको लेडी औंलालाई हलचल गरिरहेकी छिन्,a lady is stirring the lady finger which is in the boiling water
-9CUm-2cui8_39_44 ,कोही खुर्सानी उमाल्दै छन्,someone is boiling peppers
-9CUm-2cui8_39_44 ,व्यक्ति भनेको लेडिज फिंगर उमाल्ने हो,the person is the boiling the ladiesfinger
-9CUm-2cui8_39_44 ,एउटी महिला भाँडोमा भिंडी हाल्दै छिन्,a woman is putting some okra into a pot
-9CUm-2cui8_39_44 ,एक शेफ पानीमा तरकारी उमाल्दै छन्,a chef is boiling vegetables in water
-9CUm-2cui8_39_44 ,कोही महिलाको औंला फ्राइङ प्यानमा उमाल्दै,someone boiling lady finger in frying pan
-9CUm-2cui8_39_44 ,महिलाले मटरको फली उमालेको पानीमा हालिन्,the lady put the pea pods in the boiling water
-9CUm-2cui8_39_44 ,एक मानिस आफ्नो भान्सा पकाउँदै,a man cooking his kichen
-9CUm-2cui8_39_44 ,महिला भिंडी पकाउँदै छिन्,the woman is boiling okra
-9CUm-2cui8_39_44 ,एउटी महिला भिंडी पकाउँदै,a woman boils okra
-AwoiGR6c8M_10_14 ,एउटा केटा किबोर्ड खेलिरहेको छ,a boy is playing a keyboard
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing a piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing a piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing piano
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ,a boy is playing the piano
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ,a boy is playing the piano
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ,a boy is playing the piano
-AwoiGR6c8M_10_14 ,एउटा केटा कोठामा बत्तीको बत्तीमा पियानो बजाउँदै बसिरहेको छ,a boy is sitting in a room playing a piano by lamp light
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ,a boy plays a piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ,a boy plays the piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ,a boy plays the piano
-AwoiGR6c8M_10_14 ,कोठामा बसेको केटा पियानो बजाइरहेको छ,a boy seated in a room is playing the piano
-AwoiGR6c8M_10_14 ,एउटा बच्चा पियानो बजाउँदै छ,a kid is playing a piano
-AwoiGR6c8M_10_14 ,एउटा बच्चा पियानो बजाउँदै छ,a kid is playing piano
-AwoiGR6c8M_10_14 ,एउटा जवान केटा पियानो बजाउँदै छ,a young boy is playing the piano
-AwoiGR6c8M_10_14 ,एक जवान पियानोमा बसिरहेको छ,a youngster is sitting on a piano
-AwoiGR6c8M_10_14 ,केटा पियानो बजाउँदै छ,the boy is playing the piano
-AwoiGR6c8M_10_14 ,केटाले आफ्नो पियानो अभ्यास गर्यो,the boy practiced his piano
-AwoiGR6c8M_10_14 ,केटाले पियानो अभ्यास गर्यो,the boy practiced the piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै गीत गाउँदै,a boy singing a song while playing piano
-AwoiGR6c8M_10_14 ,एक केटा संगीत बजाउँदै,a boy playing music
-AwoiGR6c8M_10_14 ,केटी संगीत बजाउँदै छ,the girl is playing the nusic
-AwoiGR6c8M_10_14 ,एउटा केटा पियानोमा बसेर गाउँदै छ,a guy is sitting at the piano and singing
-AwoiGR6c8M_10_14 ,एक जवान केटा गीत गाउँदै,a young boy singing a song
-AwoiGR6c8M_10_14 ,केटा बसेर धेरै राम्रो गाउँछ,the boy sit and sing very nicely
-AwoiGR6c8M_10_14 ,ग्रेसन मौका टुटेको हृदय गाउने,greyson chance singing broken hearts
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing a piano
-AwoiGR6c8M_10_14 ,केटा पियानो बजाउँदै छ,the boy is playing the piano
-AwoiGR6c8M_10_14 ,गीत नृत्य धेरै रमाइलो,the song dance very enjoy
-AwoiGR6c8M_10_14 ,एउटा बच्चा पियानो बजाउँदै छ,a kid is playing a piano
-AwoiGR6c8M_10_14 ,कोही पियानो बजाउँदै छन्,someone is playing the piano
-AwoiGR6c8M_10_14 ,एक केटा गितार बजाउँदै,a boy playing a guitar
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing a piano
-AwoiGR6c8M_10_14 ,कसैले केही गरिरहेको छ,somebody is doing something
-AwoiGR6c8M_10_14 ,तपाईं केटा पियानो बजाउँदै हुनुहुन्छ,a you boy playing on a piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै,a boy playing piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँछ,a boy play the piano
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing piano
-AwoiGR6c8M_10_14 ,एक केटी पियानो खेल्दै,a girl playing piyano
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ,a boy is playing the piano
-AwoiGR6c8M_10_14 ,धेरै सुमधुर म्युजिक भिडियो,very melody music video
-AwoiGR6c8M_10_14 ,एक केटा पियानो बजाउँदै छ,a boy is playing a piano
-AwoiGR6c8M_10_14 ,एउटा केटा पियानो बजाउँदै छ,a boy is playing the piano
-Cv5LsqKUXc_17_25 ,एक मानिस स्ट्रबेरी काट्दै छ,a man is slicing strawberry
-Cv5LsqKUXc_17_25 ,एक पुरुषले ichigo daifuku स्ट्रबेरी daifuku बनाउनको लागि स्ट्रबेरीको स्टेम हटाउँदै छन्,a men is removing a stem of strawberry for making ichigo daifuku strawberry daifuku
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरीबाट डाँठहरू हटाउँदै,a woman is removing stems from a strawberry
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरी काट्दै छिन्,a woman is slicing a strawberry
-Cv5LsqKUXc_17_25 ,स्ट्रोउबेरी काट्ने,chopping stroubery
-Cv5LsqKUXc_17_25 ,कसैले स्ट्रबेरीका पातहरू काट्दै छन्,someone is cutting the leafy parts off of some strawberries
-Cv5LsqKUXc_17_25 ,स्टेम,the stem
-Cv5LsqKUXc_17_25 ,उनी स्ट्रोबरी खाना बनाउन सिकाउँछिन्,she teaching strobery food making
-Cv5LsqKUXc_17_25 ,एक शेफले स्ट्रबेरीका पातहरू काट्छन्,a chef cuts the leaves off of strawberries
-Cv5LsqKUXc_17_25 ,एक शेफ स्ट्रबेरीको टाउको काट्दै छन्,a chef is cutting strawberries head
-Cv5LsqKUXc_17_25 ,कुकले पातहरू हटाएर स्ट्रबेरी सफा गर्दैछ,a cook is cleaning strawberry by removing the leaves
-Cv5LsqKUXc_17_25 ,एक मानिसले स्ट्रबेरीका पातहरू काट्छन्,a man cuts the leaves off of strawberries
-Cv5LsqKUXc_17_25 ,एक जना मानिसले तीनवटा स्ट्रबेरीको टुप्पो काट्छ,a man cuts the tops off of three strawberries
-Cv5LsqKUXc_17_25 ,एकजना मानिसले तीनवटा स्ट्रबेरीका माथिल्लो पातहरू काट्दै छन्,a man is cutting the top leaves off of three strawberries
-Cv5LsqKUXc_17_25 ,एक मानिसले स्ट्रबेरीको माथिल्लो भाग काट्छ,a man slices the top off a strawberry
-Cv5LsqKUXc_17_25 ,एक मानिस स्ट्रबेरीबाट साग काट्दै,a man slicing the greens off of strawberries
-Cv5LsqKUXc_17_25 ,एक व्यक्ति स्ट्रबेरीको डाँठ काट्दै छ,a person is cutting the stems off of strawberries
-Cv5LsqKUXc_17_25 ,एक व्यक्ति चक्कुले स्ट्रबेरीको टुप्पो काट्दै छ,a person is cutting the tops off strawberries with a knife
-Cv5LsqKUXc_17_25 ,एक व्यक्ति स्ट्रबेरीका डाँठहरू काट्दै छन्,a person is slicing off the stems of strawberries
-Cv5LsqKUXc_17_25 ,एक व्यक्ति स्ट्रबेरी काट्दै छ,a person is slicing strawberries
-Cv5LsqKUXc_17_25 ,एक महिला स्ट्रबेरीको डाँठहरू काट्दै,a woman chopping off the strawberrys stalks
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरीको डाँठ काट्दै,a woman chopping the stalks off of strawberries
-Cv5LsqKUXc_17_25 ,एउटी महिलाले चक्कु प्रयोग गरेर पहिले धोएको स्ट्रबेरीको काँड काटिरहेकी छिन्,a woman is chopping the stem off from prewashed strawberries using a knife
-Cv5LsqKUXc_17_25 ,एउटी महिलाले स्ट्रबेरीका डाँठहरू काटिरहेकी छिन्,a woman is cutting the stems off strawberries
-Cv5LsqKUXc_17_25 ,एक महिला स्ट्रबेरी daifuku तयारी गर्दै,a woman is preparing strawberry daifuku
-Cv5LsqKUXc_17_25 ,एउटी महिला स्ट्रबेरीको टाउको हटाउँदै छिन्,a woman is removing head of strawberry
-Cv5LsqKUXc_17_25 ,एउटी महिलाले स्ट्रबेरीबाट टाउको हटाउन चक्कु प्रयोग गरिरहेकी छिन्,a woman is using a knife to remove the head from strawberries
-Cv5LsqKUXc_17_25 ,एक महिला स्ट्रबेरीबाट डाँठ हटाउँदै,a woman removing a stems from strawberry
-Cv5LsqKUXc_17_25 ,स्ट्रबेरीको डाँठहरू हटाउँदै महिला,a woman removing the stems of strawberries
-Cv5LsqKUXc_17_25 ,शीर्ष स्थिति पातदार स्थिति स्ट्रबेरी फल काटन,cutting the top postion leafy postion strawberry fruit
-Cv5LsqKUXc_17_25 ,कसैले स्ट्रबेरीको डाँठ काट्दै,someone cutting the stems off of strawberries
-Cv5LsqKUXc_17_25 ,कसैले स्ट्रबेरीको टुप्पो काट्दैछ,someone is slicing the tops off some strawberries
-Cv5LsqKUXc_17_25 ,मानिसले पहिले धोएको स्ट्रबेरीमाथि काण्डहरू हटायो,the man removed the stems over pre washed strawberries
-Cv5LsqKUXc_17_25 ,व्यक्तिले स्ट्रबेरीको माथिल्लो भाग काट्दै छ,the person is slicing the top off the strawberries
-Cv5LsqKUXc_17_25 ,स्ट्रबेरीको माथिल्लो पातदार भाग काटिएको छ,the top leafy part of the strawberry is being cut
-Cv5LsqKUXc_17_25 ,स्ट्रबेरीको माथिल्लो भाग हटाइँदैछ,the top part of the strawberry is being removed
